academic_year,legacy,gender,campus_visit_date_exists,gpa_points,est_household_income_rank,IMP_ZIP_MILES_FROM_CAMPUS,leadsource_code,minority,IMP_SCHOOL_TYPE,IMP_ZIP_MEDIAN_INCOME_2,ACCEPTED,ACTIVE_PAID,miles_norm,gpa_norm,income_rank_norm,zip_rank_norm
2020,1,Male,1,4,6,174,IRB,0,Public,40081,1,1,0.039606227106227104,0.4,0.45454545454545453,0.22340849961508422
2020,1,Male,1,4,11,46,IRB,0,Public,107915,1,0,0.010302197802197802,0.4,0.9090909090909091,0.6045819027764511
2020,0,Female,1,10,5,327,IXC,0,Other,62063,1,1,0.07463369963369963,1.0,0.36363636363636365,0.3469299453250993
2020,0,Female,1,2,5,62,IRB,0,IndependentNotReligious,34609,1,1,0.013965201465201466,0.2,0.36363636363636365,0.19266018959210163
2020,1,Female,1,3,10,153,IAX,0,Public,70574,1,1,0.0347985347985348,0.3,0.8181818181818182,0.3947550305965914
2020,0,Male,1,0,5,99,ICV,0,Public,47948,1,1,0.022435897435897436,0.0,0.36363636363636365,0.26761481448182467
2020,0,Female,1,9,5,60,ICV,0,Public,48603,1,1,0.013507326007326008,0.9,0.36363636363636365,0.27129539618230963
2020,0,Female,1,10,9,114,ICV,0,Public,45139,1,1,0.025869963369963368,1.0,0.7272727272727273,0.2518304572350122
2020,0,Male,1,3,6,133,ICV,0,IndependentNotReligious,96891,1,1,0.03021978021978022,0.3,0.45454545454545453,0.5426357460342435
2020,0,Female,1,3,5,53,ITA,0,Other,58045,1,1,0.011904761904761904,0.3,0.36363636363636365,0.324351964756323
2020,1,Male,1,10,6,1,IRA,0,Public,55444,1,1,0.0,1.0,0.45454545454545453,0.30973640291974086
2020,1,Male,0,1,6,25,ISA,0,Public,45007,1,0,0.005494505494505495,0.1,0.45454545454545453,0.25108872168621216
2020,0,Female,1,4,7,41,ITW,0,Public,84637,1,0,0.009157509157509158,0.4,0.5454545454545454,0.4737779625873085
2020,0,Female,1,10,6,294,ITW,0,Public,41517,1,1,0.06707875457875458,1.0,0.45454545454545453,0.2314776833126359
2020,1,Female,1,6,8,138,ISA,0,IndependentNotReligious,65579,1,1,0.031364468864468864,0.6,0.6363636363636364,0.36668708312495435
2020,1,Male,1,8,6,306,ICV,0,Public,79857,1,1,0.06982600732600733,0.8,0.45454545454545453,0.446918144986823
2020,1,Female,1,10,10,444,ICV,0,IndependentNotReligious,113142,1,1,0.10141941391941392,1.0,0.8181818181818182,0.6339535066671911
2020,0,Female,1,6,12,504,ITA,0,Public,83897,1,1,0.11515567765567765,0.6,1.0,0.4696197481470659
2020,1,Female,1,10,5,74,ICV,0,OtherIndependentReligious,52937,1,1,0.016712454212454212,1.0,0.36363636363636365,0.29564904670124353
2020,1,Female,1,10,11,868,ICV,0,Public,83596,1,1,0.19848901098901098,1.0,0.9090909090909091,0.46792836632745377
2020,0,Female,1,10,10,83,ISA,0,Public,60291,1,0,0.018772893772893772,1.0,0.8181818181818182,0.33697270750332936
2020,0,Male,1,9,5,122,ISH,0,Public,36272,1,1,0.0277014652014652,0.9,0.36363636363636365,0.20200493366524125
2020,0,Female,1,10,8,226,ITA,0,Public,65359,1,1,0.05151098901098901,1.0,0.6363636363636364,0.36545085721028764
2020,0,Male,1,10,9,654,ISA,0,Public,69991,1,1,0.149496336996337,1.0,0.7272727272727273,0.39147903192272465
2020,1,Male,1,10,6,151,ICV,0,IndependentNotReligious,50135,1,0,0.034340659340659344,1.0,0.45454545454545453,0.27990402391535224
2020,0,Male,1,3,8,166,ICV,0,IndependentNotReligious,81994,1,1,0.03777472527472527,0.3,0.6363636363636364,0.458926393985199
2020,0,Female,1,5,11,120,ITW,0,Public,60316,1,1,0.027243589743589744,0.5,0.9090909090909091,0.33711318772090515
2020,1,Female,1,10,6,40,IRB,0,Public,116894,1,1,0.008928571428571428,1.0,0.45454545454545453,0.6550367777209614
2020,0,Male,1,1,6,95,ICV,0,Public,53828,1,1,0.02152014652014652,0.1,0.45454545454545453,0.30065576165564367
2020,0,Female,1,5,8,160,IND,0,OtherIndependentReligious,87216,1,1,0.036401098901098904,0.5,0.6363636363636364,0.48826990183242397
2020,0,Female,1,10,8,93,IRB,0,Public,89708,1,1,0.021062271062271064,1.0,0.6363636363636364,0.5022729699203758
2020,0,Male,1,3,6,1618,ISA,0,IndependentNotReligious,43747,1,0,0.3701923076923077,0.3,0.45454545454545453,0.2440085187203938
2020,0,Male,1,3,8,177,ISA,0,Other,107230,1,1,0.040293040293040296,0.3,0.6363636363636364,0.6007327448148752
2020,0,Female,1,2,8,181,ISA,0,IndependentNotReligious,114050,1,1,0.04120879120879121,0.2,0.6363636363636364,0.6390557481695428
2020,1,Female,1,9,7,439,ICV,1,IndependentNotReligious,105481,1,1,0.10027472527472528,0.9,0.5454545454545454,0.5909047487932749
2020,1,Female,1,5,6,187,ICV,0,IndependentNotReligious,80473,1,1,0.042582417582417584,0.5,0.45454545454545453,0.4503795775478897
2020,0,Female,1,10,2,89,ISH,0,Public,51838,1,1,0.020146520146520148,1.0,0.09090909090909091,0.2894735363366131
2020,0,Male,1,6,5,68,IRB,0,IndependentNotReligious,68085,1,1,0.015338827838827838,0.6,0.36363636363636365,0.3807688201347486
2020,1,Female,1,0,6,40,IND,0,Public,68486,1,1,0.008928571428571428,0.0,0.45454545454545453,0.38302212282466386
2020,0,Male,0,2,6,25,ISH,0,Other,45007,1,1,0.005494505494505495,0.2,0.45454545454545453,0.25108872168621216
2020,0,Female,1,9,11,1028,IOC,0,IndependentNotReligious,82848,1,0,0.23511904761904762,0.9,0.9090909090909091,0.463725198217587
2020,0,Male,1,10,8,228,ISH,0,IndependentNotReligious,64542,1,1,0.05196886446886447,1.0,0.6363636363636364,0.3608599636999118
2020,0,Male,1,5,8,283,ISA,0,Public,52279,1,1,0.06456043956043957,0.5,0.6363636363636364,0.2919516073746495
2020,1,Female,1,8,8,108,IRB,0,Public,44325,1,1,0.024496336996336996,0.8,0.6363636363636364,0.24725642135074538
2020,0,Female,1,3,6,1278,IOE,0,IndependentNotReligious,34291,1,1,0.29235347985347987,0.3,0.45454545454545453,0.19087328122453795
2020,0,Female,1,5,8,34,ICV,0,IndependentNotReligious,69695,1,0,0.007554945054945055,0.5,0.6363636363636364,0.3898157461466276
2020,0,Male,1,10,6,122,ICV,0,IndependentNotReligious,59449,1,1,0.0277014652014652,1.0,0.45454545454545453,0.33224133377537773
2020,1,Female,1,5,9,148,IRB,0,Public,82989,1,0,0.03365384615384615,0.5,0.7272727272727273,0.4645175066447143
2020,0,Female,1,10,8,322,IFA,0,Public,42795,1,0,0.07348901098901099,1.0,0.6363636363636364,0.23865903203510883
2020,0,Female,1,10,1,268,ISC,0,Public,78521,1,1,0.061126373626373624,1.0,0.0,0.4394108821595743
2020,0,Male,1,3,6,47,ISC,0,Public,51599,1,1,0.010531135531135532,0.3,0.45454545454545453,0.2881305454565888
2020,0,Male,1,1,12,174,ITA,0,Public,91954,1,1,0.039606227106227104,0.1,1.0,0.5148937126673822
2020,0,Female,1,4,6,40,ISA,0,Public,116894,1,1,0.008928571428571428,0.4,0.45454545454545453,0.6550367777209614
2020,0,Female,1,7,6,45,ICV,0,Public,82954,1,1,0.010073260073260074,0.7,0.45454545454545453,0.46432083434010823
2020,0,Male,1,6,3,75,ISH,0,Public,50219,1,1,0.01694139194139194,0.6,0.18181818181818182,0.2803760374464068
2020,0,Male,1,1,3,35,ISA,0,Public,40136,1,0,0.007783882783882784,0.1,0.18181818181818182,0.22371755609375088
2020,0,Female,1,3,6,236,ISA,0,Public,30939,1,1,0.053800366300366304,0.3,0.45454545454545453,0.17203769365197993
2020,0,Female,1,3,12,41,IRB,1,Public,68906,1,1,0.009157509157509158,0.3,1.0,0.3853821904799366
2020,0,Male,1,7,12,436,ISA,0,Public,54128,1,1,0.09958791208791208,0.7,1.0,0.3023415242665528
2020,0,Female,1,4,1,39,ICM,0,Public,39566,1,1,0.0086996336996337,0.4,0.0,0.22051460713302354
2020,1,Male,1,10,6,296,ICV,0,Public,37425,1,1,0.06753663003663003,1.0,0.45454545454545453,0.20848388129983536
2020,0,Male,1,3,11,447,ICV,0,IndependentNotReligious,105144,1,1,0.1021062271062271,0.3,0.9090909090909091,0.5890110754603537
2020,0,Male,1,0,2,327,ISC,0,Public,62063,1,1,0.07463369963369963,0.0,0.09090909090909091,0.3469299453250993
2020,0,Female,1,3,11,175,ISH,0,Public,101941,1,1,0.03983516483516483,0.3,0.9090909090909091,0.5710127499845472
2020,0,Male,0,0,6,169,ISA,1,Public,71000,1,1,0.038461538461538464,0.0,0.45454545454545453,0.3971488135040824
2020,1,Male,0,0,6,327,ISA,1,Public,62063,1,1,0.07463369963369963,0.0,0.45454545454545453,0.3469299453250993
2020,0,Male,1,1,6,183,IND,0,Public,78496,1,0,0.041666666666666664,0.1,0.45454545454545453,0.4392704019419985
2020,0,Female,0,3,6,156,IOC,0,Public,57285,1,0,0.035485347985347984,0.3,0.45454545454545453,0.3200813661420199
2020,0,Female,1,10,7,1,ISC,0,Public,55444,1,0,0.0,1.0,0.5454545454545454,0.30973640291974086
2020,1,Female,0,10,5,167,IRA,0,Public,66214,1,0,0.038003663003663,1.0,0.36363636363636365,0.3702552806513787
